activity;sampleId;stamp;alpha;beta;gamma;x;y;z
tableDown;tableDown_Id1;1635415824091;240.702;179.9;-1.1;0;0;0
tableDown;tableDown_Id1;1635415824102;240.702;179.9;-1.1;0;0;0
tableDown;tableDown_Id1;1635415824122;240.702;179.9;-1.1;0;0;0
tableDown;tableDown_Id1;1635415824168;240.702;179.9;-1;0;0;0
tableDown;tableDown_Id1;1635415824185;240.702;179.9;-1;0;0;0
tableDown;tableDown_Id1;1635415824202;240.702;179.9;-1;0;0;0
tableDown;tableDown_Id1;1635415824218;240.702;179.9;-1;0;0;0
tableDown;tableDown_Id1;1635415824233;240.702;179.9;-1;0;0;0
tableDown;tableDown_Id1;1635415824252;240.702;179.9;-1;0;0;0
tableDown;tableDown_Id1;1635415824269;240.702;179.9;-1;0;0;0
tableDown;tableDown_Id1;1635415824284;240.702;179.9;-1;0;0;0
tableDown;tableDown_Id1;1635415824301;240.702;179.9;-1;0;0;0
tableDown;tableDown_Id1;1635415824317;240.702;179.9;-1;0;0;0
tableDown;tableDown_Id1;1635415824335;240.702;179.9;-1;0;0;0
tableDown;tableDown_Id1;1635415824351;240.702;179.9;-1;0;0;0
tableDown;tableDown_Id1;1635415824393;240.702;179.9;-1.1;0;0;0
tableDown;tableDown_Id1;1635415824403;240.702;179.9;-1.1;0;0;0
tableDown;tableDown_Id1;1635415824415;240.702;179.9;-1.1;0;0;0
tableDown;tableDown_Id1;1635415824426;240.702;179.9;-1.1;0;0;0
tableDown;tableDown_Id1;1635415824436;240.702;179.9;-1.1;0;0;0
tableDown;tableDown_Id1;1635415824448;240.702;179.9;-1.1;0;0;0
tableDown;tableDown_Id1;1635415824459;240.702;179.9;-1.1;0;0;0
tableDown;tableDown_Id1;1635415824470;240.702;179.9;-1.1;0;0;0
tableDown;tableDown_Id1;1635415824481;240.702;179.9;-1.1;0;0;0
tableDown;tableDown_Id1;1635415824543;240.702;179.9;-1.1;-0.5;0;0
tableDown;tableDown_Id1;1635415824634;244.702;179.5;-2;-0.304;1.202;0
tableDown;tableDown_Id1;1635415824708;247.9;179.8;-1.8;0.4;0.304;0.1
tableDown;tableDown_Id1;1635415824799;249.702;-179.4;-1.702;-0.5;-0.304;0
tableDown;tableDown_Id1;1635415824867;253.102;-179.102;-1.5;0.701;-0.9;0
tableDown;tableDown_Id1;1635415824930;256.8;-178.9;-1.3;-0.304;-0.2;0
tableDown;tableDown_Id1;1635415824997;260.2;-178.8;-1.401;-1.1;0.2;0
tableDown;tableDown_Id1;1635415825059;263.903;-178.8;-1.5;-0.4;0.304;0
tableDown;tableDown_Id1;1635415825119;268.8;-178.702;-1.401;0.1;0.304;0
tableDown;tableDown_Id1;1635415825182;276.6;-178.5;-1.1;1.401;0.304;0
tableDown;tableDown_Id1;1635415825243;280.1;-178.5;-0.8;2.2;0.4;-0.1
