activity;sampleId;stamp;alpha;beta;gamma;x;y;z
stand;5;1636026684815;303.8;39.6;7.1;0;0.4;-1.8
stand;5;1636026684847;303.6;39.4;7.2;-0.2;0.3;-0.6
stand;5;1636026684877;303.3;39.2;7.2;0;-0.2;-0.1
stand;5;1636026684901;303;39;7;0;-0.1;-0.2
stand;5;1636026684907;303;39;7;0;-0.1;-0.2
stand;5;1636026684923;302.8;38.9;6.9;0;-0.2;-0.2
stand;5;1636026684944;302.6;38.8;6.7;0;-0.2;0
stand;5;1636026684967;302.5;38.8;6.6;-0.1;-0.1;0.1
stand;5;1636026684982;302.5;38.8;6.6;-0.3;0.1;0
stand;5;1636026685006;302.3;38.7;6.4;-0.4;0.3;0.1
stand;5;1636026685028;301.9;38.5;6.3;-0.4;0.5;0.1
stand;5;1636026685035;301.9;38.5;6.3;-0.4;0.5;0.1
stand;5;1636026685039;301.9;38.5;6.3;-0.4;0.5;0.1
stand;5;1636026685056;301.6;38.4;6.3;-0.2;0.4;0.1
stand;5;1636026685078;301;38.3;6.4;0;0.2;0.1
stand;5;1636026685101;300.8;38.3;6.5;0.2;-0.1;-0.1
stand;5;1636026685115;300.8;38.3;6.5;0.1;-0.1;0.1
stand;5;1636026685129;300.5;38.3;6.5;0.1;-0.1;0.1
stand;5;1636026685149;300;38.3;6.6;0;0.1;0.2
stand;5;1636026685164;299.7;38.3;6.7;-0.2;0.2;0.3
stand;5;1636026685182;299.5;38.3;6.8;-0.2;0.1;0.4
stand;5;1636026685198;299.1;38.3;6.9;-0.1;0;0.4
stand;5;1636026685218;298.8;38.2;7;0;-0.1;0.5
stand;5;1636026685231;298.6;38.1;7;0.2;-0.1;0.1
stand;5;1636026685250;298.4;38;7;0.4;-0.3;-0.4
stand;5;1636026685264;298.2;38;7;0.6;-0.5;-0.5
stand;5;1636026685275;298.2;38;7;0.6;-0.5;-0.1
stand;5;1636026685296;298;37.9;6.9;0.3;-0.3;0.4
stand;5;1636026685315;297.9;37.7;6.8;0.1;-0.1;0.4
stand;5;1636026685335;297.8;37.6;6.7;-0.1;0.1;0.3
stand;5;1636026685350;297.7;37.5;6.6;-0.4;0.3;0.3
stand;5;1636026685355;297.7;37.5;6.6;-0.4;0.3;0.3
stand;5;1636026685367;297.7;37.5;6.6;-0.4;0.3;0.6
stand;5;1636026685379;297.6;37.3;6.6;-0.4;0.3;0.6
stand;5;1636026685399;297.3;37;6.6;-0.3;0.1;0.7
stand;5;1636026685414;297.2;36.9;6.7;-0.2;-0.1;0.8
stand;5;1636026685434;297.1;36.8;6.9;0;-0.4;0.7
stand;5;1636026685451;297;36.8;7.1;0.3;-0.7;0.5
stand;5;1636026685469;297;36.7;7.1;0.7;-0.8;-0.1
stand;5;1636026685477;297;36.7;7.1;0.6;-0.3;-0.9
stand;5;1636026685490;297;36.7;7.1;0;0.5;-0.5
stand;5;1636026685514;296.8;36.4;7.2;-0.2;0.7;-0.8
stand;5;1636026685525;296.8;36.4;7.2;-0.2;0.5;-0.5
stand;5;1636026685540;296.7;36.2;7.2;-0.2;0.4;-0.3
stand;5;1636026685560;296.5;36.1;7.1;0;0.4;0.1
stand;5;1636026685581;296.3;36;7.2;0.2;0;0.3
stand;5;1636026685602;296.2;36.1;7.3;0;0.4;-0.2
stand;5;1636026685615;296.2;36.1;7.3;-0.4;0.6;-0.1
stand;5;1636026685626;296;36.1;7.4;-0.4;0.6;-0.1
stand;5;1636026685648;295.6;36.2;7.7;-0.3;0.2;0
stand;5;1636026685668;295.4;36.3;7.9;0;0.1;0.5
stand;5;1636026685684;295.2;36.4;8.1;-0.1;0.3;0.1
stand;5;1636026685704;295;36.5;8.3;-0.3;0.6;-0.2
stand;5;1636026685718;295;36.5;8.3;-0.6;0;0.1
stand;5;1636026685725;294.8;36.5;8.5;-0.6;0;0.1
stand;5;1636026685746;294.2;36.7;9.1;-0.4;0.1;-0.1
stand;5;1636026685758;294.2;36.7;9.1;-0.2;-0.1;0.8
stand;5;1636026685777;293.8;36.7;9.7;-0.2;-0.2;1.1
stand;5;1636026685789;293.8;36.7;9.7;-0.3;0.2;0.1
stand;5;1636026685814;293.3;36.5;10.2;-0.1;0.3;-0.4
