activity;sampleId;stamp;alpha;beta;gamma;x;y;z
table;Id3;1636021885812;0;0.2;-0.3;0;0;0.1
table;Id3;1636021885815;0;0.2;-0.3;0;0;0.1
table;Id3;1636021885817;0;0.2;-0.3;0;0;0.1
table;Id3;1636021885826;0;0.2;-0.3;0;0;0.1
table;Id3;1636021885831;0;0.2;-0.3;0;0;0.1
table;Id3;1636021885841;0;0.2;-0.3;0;0;0.1
table;Id3;1636021885845;0;0.2;-0.3;0;0;0.1
table;Id3;1636021885849;0;0.2;-0.3;0;0;0.1
table;Id3;1636021885854;0;0.2;-0.3;0;0;0.1
table;Id3;1636021885866;0;0.2;-0.3;0;0;0.1
table;Id3;1636021885870;0;0.2;-0.3;0;0;0.1
table;Id3;1636021885882;0;0.2;-0.3;0;0;0.1
table;Id3;1636021885887;0;0.2;-0.3;0;0;0.1
table;Id3;1636021885896;0;0.2;-0.3;0;0;0.1
table;Id3;1636021885901;0;0.2;-0.3;0;0;0.1
table;Id3;1636021885905;0;0.2;-0.3;0;0;0.1
table;Id3;1636021885915;0;0.2;-0.3;0;0;0.1
table;Id3;1636021885919;0;0.2;-0.3;0;0;0.1
table;Id3;1636021885930;0;0.2;-0.3;0;0;0.1
table;Id3;1636021885935;0;0.2;-0.3;0;0;0.1
table;Id3;1636021885945;0;0.2;-0.3;0;0;0.1
table;Id3;1636021885950;0;0.2;-0.3;0;0;0.1
table;Id3;1636021885954;0;0.2;-0.3;0;0;0.1
table;Id3;1636021885964;0;0.2;-0.3;0;0;0.1
table;Id3;1636021885968;0;0.2;-0.3;0;0;0.1
table;Id3;1636021885979;0;0.2;-0.3;0;0;0.1
table;Id3;1636021885983;0;0.2;-0.3;0;0;0.1
table;Id3;1636021885988;0;0.2;-0.3;0;0;0.1
table;Id3;1636021885995;0;0.2;-0.3;0;0;0.1
table;Id3;1636021885999;0;0.2;-0.3;0;0;0.1
table;Id3;1636021886003;0;0.2;-0.3;0;0;0.1
table;Id3;1636021886013;0;0.2;-0.3;0;0;0.1
table;Id3;1636021886017;0;0.2;-0.3;0;0;0.1
table;Id3;1636021886022;0;0.2;-0.3;0;0;0.1
table;Id3;1636021886028;0;0.2;-0.3;0;0;0.1
table;Id3;1636021886033;0;0.2;-0.3;0;0;0.1
table;Id3;1636021886037;0;0.2;-0.3;0;0;0.1
table;Id3;1636021886047;0;0.2;-0.3;0;0;0.1
table;Id3;1636021886052;0;0.2;-0.3;0;0;0.1
table;Id3;1636021886056;0;0.2;-0.3;0;0;0.1
table;Id3;1636021886065;0;0.2;-0.3;0;0;0.1
table;Id3;1636021886070;0;0.2;-0.3;0;0;0.1
table;Id3;1636021886080;0;0.2;-0.3;0;0;0.1
table;Id3;1636021886084;0;0.2;-0.3;0;0;0.1
table;Id3;1636021886089;0;0.2;-0.3;0;0;0.1
table;Id3;1636021886097;0;0.2;-0.3;0;0;0.1
table;Id3;1636021886101;0;0.2;-0.3;0;0;0.1
table;Id3;1636021886105;0;0.2;-0.3;0;0;0.1
table;Id3;1636021886113;0;0.2;-0.3;0;0;0.1
table;Id3;1636021886119;0;0.2;-0.3;0;0;0.1
table;Id3;1636021886123;0;0.2;-0.3;0;0;0.1
table;Id3;1636021886127;0;0.2;-0.3;0;0;0.1
table;Id3;1636021886132;0;0.2;-0.3;0;0;0.1
table;Id3;1636021886136;0;0.2;-0.3;0;0;0.1
table;Id3;1636021886141;0;0.2;-0.3;0;0;0.1
table;Id3;1636021886145;0;0.2;-0.3;0;0;0.1
table;Id3;1636021886150;0;0.2;-0.3;0;0;0.1
table;Id3;1636021886154;0;0.2;-0.3;0;0;0.1
table;Id3;1636021886158;0;0.2;-0.3;0;0;0.1
table;Id3;1636021886163;0;0.2;-0.3;0;0;0.1
table;Id3;1636021886167;0;0.2;-0.3;0;0;0.1
table;Id3;1636021886172;0;0.2;-0.3;0;0;0.1
table;Id3;1636021886176;0;0.2;-0.3;0;0;0.1
table;Id3;1636021886181;0;0.2;-0.3;0;0;0.1
table;Id3;1636021886185;0;0.2;-0.3;0;0;0.1
table;Id3;1636021886191;0;0.2;-0.3;0;0;0.1
table;Id3;1636021886196;0;0.2;-0.3;0;0;0.1
table;Id3;1636021886201;0;0.2;-0.3;0;0;0.1
table;Id3;1636021886205;0;0.2;-0.3;0;0;0.1
table;Id3;1636021886210;0;0.2;-0.3;0;0;0.1
table;Id3;1636021886214;0;0.2;-0.3;0;0;0.1
table;Id3;1636021886218;0;0.2;-0.3;0;0;0.1
table;Id3;1636021886225;0;0.2;-0.3;0;0;0.1
table;Id3;1636021886230;0;0.2;-0.3;0;0;0.1
table;Id3;1636021886235;0;0.2;-0.3;0;0;0.1
table;Id3;1636021886239;0;0.2;-0.3;0;0;0.1
table;Id3;1636021886244;0;0.2;-0.3;0;0;0.1
table;Id3;1636021886248;0;0.2;-0.3;0;0;0.1
table;Id3;1636021886252;0;0.2;-0.3;0;0;0.1
table;Id3;1636021886259;0;0.2;-0.3;0;0;0.1
table;Id3;1636021886263;0;0.2;-0.3;0;0;0.1
table;Id3;1636021886267;0;0.2;-0.3;0;0;0.1
table;Id3;1636021886272;0;0.2;-0.3;0;0;0.1
table;Id3;1636021886276;0;0.2;-0.3;0;0;0.1
table;Id3;1636021886281;0;0.2;-0.3;0;0;0.1
table;Id3;1636021886285;0;0.2;-0.3;0;0;0.1
table;Id3;1636021886290;0;0.2;-0.3;0;0;0.1
table;Id3;1636021886294;0;0.2;-0.3;0;0;0.1
table;Id3;1636021886299;0;0.2;-0.3;0;0;0.1
table;Id3;1636021886303;0;0.2;-0.3;0;0;0.1
table;Id3;1636021886310;0;0.2;-0.3;0;0;0.1
table;Id3;1636021886314;0;0.2;-0.3;0;0;0.1
table;Id3;1636021886319;0;0.2;-0.3;0;0;0.1
table;Id3;1636021886324;0;0.2;-0.3;0;0;0.1
table;Id3;1636021886330;0;0.2;-0.3;0;0;0.1
table;Id3;1636021886335;0;0.2;-0.3;0;0;0.1
table;Id3;1636021886339;0;0.2;-0.3;0;0;0.1
table;Id3;1636021886344;0;0.2;-0.3;0;0;0.1
table;Id3;1636021886348;0;0.2;-0.3;0;0;0.1
table;Id3;1636021886353;0;0.2;-0.3;0;0;0.1
table;Id3;1636021886358;0;0.2;-0.3;0;0;0.1
table;Id3;1636021886363;0;0.2;-0.3;0;0;0.1
table;Id3;1636021886368;0;0.2;-0.3;0;0;0.1
table;Id3;1636021886373;0;0.2;-0.3;0;0;0.1
table;Id3;1636021886378;0;0.2;-0.3;0;0;0.1
table;Id3;1636021886383;0;0.2;-0.3;0;0;0.1
table;Id3;1636021886387;0;0.2;-0.3;0;0;0.1
table;Id3;1636021886392;0;0.2;-0.3;0;0;0.1
table;Id3;1636021886396;0;0.2;-0.3;0;0;0.1
table;Id3;1636021886401;0;0.2;-0.3;0;0;0.1
table;Id3;1636021886405;0;0.2;-0.3;0;0;0.1
table;Id3;1636021886410;0;0.2;-0.3;0;0;0.1
table;Id3;1636021886414;0;0.2;-0.3;0;0;0.1
table;Id3;1636021886419;0;0.2;-0.3;0;0;0.1
table;Id3;1636021886424;0;0.2;-0.3;0;0;0.1
table;Id3;1636021886428;0;0.2;-0.3;0;0;0.1
table;Id3;1636021886433;0;0.2;-0.3;0;0;0.1
table;Id3;1636021886437;0;0.2;-0.3;0;0;0.1
table;Id3;1636021886442;0;0.2;-0.3;0;0;0.1
table;Id3;1636021886447;0;0.2;-0.3;0;0;0.1
table;Id3;1636021886452;0;0.2;-0.3;0;0;0.1
table;Id3;1636021886456;0;0.2;-0.3;0;0;0.1
table;Id3;1636021886462;0;0.2;-0.3;0;0;0.1
table;Id3;1636021886473;0;0.2;-0.3;0;0;0.1
table;Id3;1636021886478;0;0.2;-0.3;0;0;0.1
table;Id3;1636021886482;0;0.2;-0.3;0;0;0.1
table;Id3;1636021886487;0;0.2;-0.3;0;0;0.1
table;Id3;1636021886491;0;0.2;-0.3;0;0;0.1
table;Id3;1636021886496;0;0.2;-0.3;0;0;0.1
table;Id3;1636021886501;0;0.2;-0.3;0;0;0.1
table;Id3;1636021886505;0;0.2;-0.3;0;0;0.1
table;Id3;1636021886510;0;0.2;-0.3;0;0;0.1
table;Id3;1636021886514;0;0.2;-0.3;0;0;0.1
table;Id3;1636021886519;0;0.2;-0.3;0;0;0.1
table;Id3;1636021886523;0;0.2;-0.3;0;0;0.1
table;Id3;1636021886528;0;0.2;-0.3;0;0;0.1
table;Id3;1636021886532;0;0.2;-0.3;0;0;0.1
table;Id3;1636021886537;0;0.2;-0.3;0;0;0.1
table;Id3;1636021886541;0;0.2;-0.3;0;0;0.1
table;Id3;1636021886547;0;0.2;-0.3;0;0;0.1
table;Id3;1636021886552;0;0.2;-0.3;0;0;0.1
table;Id3;1636021886556;0;0.2;-0.3;0;0;0.1
table;Id3;1636021886561;0;0.2;-0.3;0;0;0.1
table;Id3;1636021886566;0;0.2;-0.3;0;0;0.1
table;Id3;1636021886571;0;0.2;-0.3;0;0;0.1
