activity;sampleId;stamp;alpha;beta;gamma;x;y;z
hands;Hands_Id1;1635417245282;355.1;65.4;7.301;0.1;0;0
hands;Hands_Id1;1635417245357;355.6;65.4;6.801;0.1;0;0.1
hands;Hands_Id1;1635417245397;355.6;65.4;6.801;0;0;0
hands;Hands_Id1;1635417245408;355.6;65.4;6.801;0;0;0
hands;Hands_Id1;1635417245419;355.6;65.4;6.801;0;0;0
hands;Hands_Id1;1635417245462;355.6;65.4;6.801;0;0.1;-0.1
hands;Hands_Id1;1635417245521;355.5;65.4;6.9;0;0;-0.1
hands;Hands_Id1;1635417245603;355.705;65.3;6.801;0;0;0.1
hands;Hands_Id1;1635417245657;355.903;65.4;6.5;0;0;0
hands;Hands_Id1;1635417245669;355.903;65.4;6.5;0;0;0
hands;Hands_Id1;1635417245709;355.903;65.4;6.5;0;0;-0.1
hands;Hands_Id1;1635417245785;356.5;65.4;6;0;0;0.1
hands;Hands_Id1;1635417245840;356.6;65.3;5.9;0.1;0;0
hands;Hands_Id1;1635417245895;357.1;65.3;5.4;0;0;-0.1
hands;Hands_Id1;1635417245948;357.3;65.4;5.301;0;0;0.1
hands;Hands_Id1;1635417246009;357.5;65.3;5.1005;0.1;0;0
hands;Hands_Id1;1635417246065;357.705;65.2;4.801;0;0;0
hands;Hands_Id1;1635417246097;357.903;65.2;4.7;0;0;0
hands;Hands_Id1;1635417246108;357.903;65.2;4.7;0;0;0
hands;Hands_Id1;1635417246119;357.903;65.2;4.7;0;0;0
hands;Hands_Id1;1635417246130;357.903;65.2;4.7;0;0;0
hands;Hands_Id1;1635417246158;358.1;65.2;4.5;0;0;0
hands;Hands_Id1;1635417246227;358.3;65.3;4.1005;0;0;-0.1
hands;Hands_Id1;1635417246281;358.6;65.101;3.9004;0;0;0.1
hands;Hands_Id1;1635417246338;358.705;65.101;3.7;0;0;0
hands;Hands_Id1;1635417246390;358.903;65.2;3.4004;0;0;-0.2
hands;Hands_Id1;1635417246448;359.205;65.2;3.1;0.1;-0.1;-0.1
hands;Hands_Id1;1635417246505;359.5;65.2;2.9004;0.1;-0.1;0
