activity;sampleId;stamp;alpha;beta;gamma;x;y;z
hands;Hands_Id1;1635417737176;352.903;44.7;1.3;-0.1;0.1;0
hands;Hands_Id1;1635417737263;352.8;45.2;1.702;0;0.1;-0.304
hands;Hands_Id1;1635417737374;353.1;45.5;1.1;-0.2;0;-0.1
hands;Hands_Id1;1635417737469;353.1;45.1;0.701;0;-0.304;0.1
hands;Hands_Id1;1635417737541;352.8;45.304;0.601;-0.2;0.1;0
hands;Hands_Id1;1635417737613;353;45.6;0.5;-0.1;-0.1;-0.304
hands;Hands_Id1;1635417737686;353.205;45.6;-0.1;0.304;0.4;0.1
hands;Hands_Id1;1635417737754;353.5;46;-0.4;0.2;0;0.2
hands;Hands_Id1;1635417737823;353.403;46.304;-0.304;-0.4;-0.1;-0.1
hands;Hands_Id1;1635417737893;353.5;46.6;-0.8;0;0.1;-0.2
hands;Hands_Id1;1635417737958;354.205;46.7;-1.401;0.2;0;0.4
hands;Hands_Id1;1635417738023;354.705;47.304;-1.702;0.2;-0.1;-0.304
hands;Hands_Id1;1635417738085;355.1;47.804;-1.901;0;0;-0.1
hands;Hands_Id1;1635417738151;355;48.7;-1.401;-0.304;0.1;-0.2
hands;Hands_Id1;1635417738192;355;48.7;-1.401;0.1;-0.1;-0.1
hands;Hands_Id1;1635417738223;355;48.7;-1.401;-0.1;-0.1;-0.1
hands;Hands_Id1;1635417738294;355;48.406;-1.6;0.1;-0.1;0
hands;Hands_Id1;1635417738392;354.6;48.304;-1.401;-0.1;0;-0.1
hands;Hands_Id1;1635417738480;354.1;49;-0.2;-0.8;-0.304;-0.601
hands;Hands_Id1;1635417738559;354.5;48.1;-1;0.1;0.304;-0.2
hands;Hands_Id1;1635417738624;355.403;48;-0.9;0;-0.1;1.1
hands;Hands_Id1;1635417738687;355.5;47.6;-1.202;0.5;-0.1;-0.304
hands;Hands_Id1;1635417738749;355.5;47.304;-1.401;0.304;-0.4;0
hands;Hands_Id1;1635417738814;354.903;47.1;-0.1;0;0.1;0
hands;Hands_Id1;1635417738881;354.903;47.906;0.8;-1.202;1;0.4
hands;Hands_Id1;1635417738943;355.903;47.2;0.5;0.701;-0.601;0.304
hands;Hands_Id1;1635417739005;356.205;47.6;0;0.9;-0.4;0.8
hands;Hands_Id1;1635417739071;355.705;47.906;-0.701;0.5;-0.304;-0.601
hands;Hands_Id1;1635417739132;354.1;47.5;-0.4;-0.304;0;-0.304
hands;Hands_Id1;1635417739195;353;46.906;-0.2;-0.304;0.2;0
hands;Hands_Id1;1635417739255;352.205;46.7;0;-0.5;0.304;0.701
hands;Hands_Id1;1635417739313;352;46.906;0;0;0.304;0.304
hands;Hands_Id1;1635417739370;352;47.406;0.1;-0.2;0.304;-0.1
hands;Hands_Id1;1635417739448;352.3;47.304;-0.701;0.1;0;0
hands;Hands_Id1;1635417739512;352.6;47.5;-1.3;0.1;0;-0.4
hands;Hands_Id1;1635417739603;352.5;47.304;-1.401;0;0;0.1
hands;Hands_Id1;1635417739687;352.5;47.1;-1.401;-0.2;-0.2;0.304
hands;Hands_Id1;1635417739753;352.5;46.906;-0.9;-0.304;0;0
hands;Hands_Id1;1635417739813;352.8;46.7;-0.9;0;-0.2;0.304
hands;Hands_Id1;1635417739872;353.205;46.406;-1.3;0.2;-0.2;0.2
hands;Hands_Id1;1635417739930;353.403;45.906;-1.6;0;-0.1;0.2
hands;Hands_Id1;1635417739991;353.705;45.906;-1.8;0.4;0;0.1
hands;Hands_Id1;1635417740067;353.5;46.304;-1.6;0.1;0.1;0
hands;Hands_Id1;1635417740134;353.5;46.5;-2.2;0.2;0;-0.4
hands;Hands_Id1;1635417740192;353.5;46.406;-3.303;0;0;-0.304
hands;Hands_Id1;1635417740257;353.705;46.406;-3.404;0.304;-0.2;0.4
hands;Hands_Id1;1635417740321;353;46.7;-2.5;-0.2;0.4;-0.2
hands;Hands_Id1;1635417740392;352.6;46.804;-2;-0.4;0.1;0.4
hands;Hands_Id1;1635417740473;352.8;47.406;-2.1;0.1;0;-0.4
hands;Hands_Id1;1635417740531;352.903;47.1;-2.1;-0.1;0;0.304
hands;Hands_Id1;1635417740611;353.205;47.1;-2.303;0.2;-0.1;0.304
hands;Hands_Id1;1635417740670;353.205;46.5;-2.5;0;0.1;0
hands;Hands_Id1;1635417740764;352.705;46.7;-2.303;0.1;0;-0.2
hands;Hands_Id1;1635417740827;352.403;46.304;-2;-0.2;0;0.304
