activity;sampleId;stamp;alpha;beta;gamma;x;y;z
tableUp;tableUp_Id1;1635415438370;4.5;-0.701;0.5;0;0;0
tableUp;tableUp_Id1;1635415438381;4.5;-0.701;0.5;0;0;0
tableUp;tableUp_Id1;1635415438394;4.5;-0.701;0.5;0;0;0
tableUp;tableUp_Id1;1635415438423;4.5;-0.701;0.5;0;0;0
tableUp;tableUp_Id1;1635415438434;4.5;-0.701;0.5;0;0;0
tableUp;tableUp_Id1;1635415438457;4.5;-0.701;0.5;0;0;0
tableUp;tableUp_Id1;1635415438488;4.5;-0.701;0.5;0;0;0
tableUp;tableUp_Id1;1635415438508;4.5;-0.701;0.5;0;0;0
tableUp;tableUp_Id1;1635415438531;4.5;-0.701;0.5;0;0;0
tableUp;tableUp_Id1;1635415438548;4.5;-0.701;0.5;0;0;0
tableUp;tableUp_Id1;1635415438562;4.5;-0.701;0.5;0;0;0
tableUp;tableUp_Id1;1635415438577;4.5;-0.701;0.5;0;0;0
tableUp;tableUp_Id1;1635415438596;4.5;-0.701;0.5;0;0;0
tableUp;tableUp_Id1;1635415438613;4.5;-0.701;0.5;0;0;0
tableUp;tableUp_Id1;1635415438630;4.5;-0.701;0.5;0;0;0
tableUp;tableUp_Id1;1635415438646;4.5;-0.701;0.5;0;0;0
tableUp;tableUp_Id1;1635415438660;4.5;-0.701;0.5;0;0;0
tableUp;tableUp_Id1;1635415438678;4.5;-0.701;0.5;0;0;0
tableUp;tableUp_Id1;1635415438689;4.5;-0.701;0.5;0;0;0
tableUp;tableUp_Id1;1635415438703;4.5;-0.701;0.5;0;0;0
tableUp;tableUp_Id1;1635415438714;4.5;-0.701;0.5;0;0;0
tableUp;tableUp_Id1;1635415438725;4.5;-0.701;0.5;0;0;0
tableUp;tableUp_Id1;1635415438736;4.5;-0.701;0.5;0;0;0
tableUp;tableUp_Id1;1635415438747;4.5;-0.701;0.5;0;0;0
tableUp;tableUp_Id1;1635415438759;4.5;-0.701;0.5;0;0;0
tableUp;tableUp_Id1;1635415438770;4.5;-0.701;0.5;0;0;0
tableUp;tableUp_Id1;1635415438781;4.5;-0.701;0.5;0;0;0
tableUp;tableUp_Id1;1635415438792;4.5;-0.701;0.5;0;0;0
tableUp;tableUp_Id1;1635415438809;4.5;-0.701;0.5;0;0;0
